,df,icao,crc_valid,capability,capability_text,typecode,bds,subtype,selected_altitude,selected_altitude_source,baro_pressure_setting,selected_heading,nac_p,nic_baro,sil,autopilot,vnav_mode,altitude_hold_mode,approach_mode,lnav_mode,tcas_operational,flight_status,flight_status_text,downlink_request,utility_message,altitude,squawk,icao_verified,magnetic_heading,indicated_airspeed,mach,baro_vertical_rate,inertial_vertical_rate,nac_v,groundspeed,track,vr_source,vertical_rate,geo_minus_baro,surveillance_status,nic_b,cpr_format,cpr_lat,cpr_lon,nuc_p,vertical_status,cross_link_capability,sensitivity_level,reply_information,supported_bds,version,nic_supplement_a,hrd,capability_class,operational_mode,sil_supplement,roll,true_track,track_rate,true_airspeed,selected_altitude_mcp,emergency_state
96,11,7816A1,True,5.0,"Level 2+, airborne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,4,3C6542,True,,,,,,,,,,,,,,,,,,,0.0,"No alert, no SPI, airborne",0.0,0.0,750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,17,3C6542,True,,,11.0,"0,5",,,,,,,,,,,,,,,,,,,750.0,,,,,,,,,,,,,,0.0,0.0,1.0,102578.0,122603.0,7.0,,,,,,,,,,,,,,,,,
99,11,7816A1,True,5.0,"Level 2+, airborne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4,7816A1,True,,,,,,,,,,,,,,,,,,,0.0,"No alert, no SPI, airborne",0.0,0.0,35000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,11,3C6542,True,5.0,"Level 2+, airborne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,4,7816A1,True,,,,,,,,,,,,,,,,,,,0.0,"No alert, no SPI, airborne",0.0,0.0,35000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,4,7816A1,True,,,,,,,,,,,,,,,,,,,0.0,"No alert, no SPI, airborne",0.0,0.0,35000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,17,7816A1,True,,,11.0,"0,5",,,,,,,,,,,,,,,,,,,35000.0,,,,,,,,,,,,,,0.0,0.0,1.0,103020.0,111734.0,7.0,,,,,,,,,,,,,,,,,
105,11,7816A1,True,5.0,"Level 2+, airborne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,4,7816A1,True,,,,,,,,,,,,,,,,,,,0.0,"No alert, no SPI, airborne",0.0,0.0,35000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
